Registered Qualifying Data Centers											
Data Center	Effective Date	Owner Name	Owner Registration Number	Occupant Name	Occupant Registration Number	Operator Name	Operator Registration Number	Exemption End Date	Location		
San Antonio Data Center III	05/25/2017	CyrusOne LLC	DC086194-OW1	Microsoft Corporation	DC086194-OC1	CyrusOne LLC	DC086194-OP1	05/25/2027	11203 W Military Drive San Antonio, Bexar County, TX 78254		
SDC - Austin Tandem Data Center	03/13/2024	SDC - Austin LLC	DC590947-OW1	Cirrascale Cloud Services, LLC	DC590947-OC1	SDC - Austin LLC	DC590947-OP1		1300 Louis Henna Blvd Round Rock, Williamson County TX 78664		
SDC DFW VIII, L.P.	03/27/2023	SDC DFW VIII, L.P.	DC496068-OW1	GOOGLE LLC	DC496068-OC1	SDC DFW VIII, L.P. Jones Lang La Salle Amercias, Inc. Design, LLC	DC496068-OP1 DC496068-OP2 DC496068-OP3		300 S Sunrise Road Wilmer, Dallas County, TX 75172		
SDC SATB1	03/10/2024	SDC SA III, L.P.	DC615003-OW1	Microsoft Corporation	DC615003-OC1	SDC SA III, L.P.	DC615003-OP1		11203 Military Dr. San Antonio, Bexar County, TX 78251	Classified as a confidential project	
State Farm Richardson Data Center	06/01/2015	JDM III SF Dallas DC LLC	DC245709-OW3	State Farm Mutual Auto Ins. Co.	DC245709-OC1	State Farm Mutual Auto Ins. Co.	DC245709-OP1	06/01/2030	1510 E Lookout Drive Richardson, Dallas County, TX 75082		
Stream DFW VII Data Center	02/07/2022	SDC DFW VII LP	DC338025-OW1	OBOE LLC	DC338025-OC1	SDC Technology Services, LLC	DC338025-OP1		813 Lookout Drive, Garland, Dallas County, TX 75044		
Switch AUS 4	06/26/2025	Switch, LTD	DC440472-OW1	Coreweave, Inc.	DC440472-OC1	Switch, LTD	DC440472-OP1		150 Dell Way Round Rock, Travis County, TX 78664		
Temple Green Data Center	07/23/2021	Temple Green Data LLC	DC362659-OW2	Rhodium Renewables LLC	DC362659-OC1	Temple Green Data LLC	DC362659-OP2		2810 Bob White Road, Synergy Industrial Park Temple, Bell County, TX 76501		
TX11 Data Center	03/06/2024	Vantage Data Centers TX11, LLC	DC536960-OW1	Microsoft Corporation	DC536960-OC1	Vantage Data Centers TX11, LLC; Vantage Data Centers Management Company LLC	DC536960-OP1 DC536960-OP2		14720 Omicron Drive San Antonio, Bexar County, TX 78245		
USBTC Pecos Data Center	04/01/2022	U.S. Data Lone Star, Inc.	DC062205-OW1	U.S. Data Lone Star, Inc.	DC062205-OC1	U.S. Data Lone Star, Inc.	DC062205-OP1		Farm to Market Road 2119 Pecos, Reeves County, TX 79772		
West Texas Data Center	05/04/2022	WTDM OZB LLC	DC132838-OW1	WTDM OZB LLC	DC132838-OC1	WTDM OZB LLC TNDS US Corp	DC132838-OP1 DC132838-OP2		Comanche Circle Project (Hood/Somervell County border), Comanche County, TX		
Whinstone US Data Center	06/30/2020	Whinstone US Inc.	DC820786-OW1	Whinstone US Inc.	DC820786-OC1	Whinstone US Inc.	DC820786-OP1		1721 Todd Rd Rockdale, Milam County, TX 76567		
											
Registered Qualifying Large Data Center Projects											
Data Center	Effective Date	Owner Name	Owner Registration Number	Occupant Name	Occupant Registration Number	Operator Name	Operator Registration Number	Exemption End Date	Location	Foreign or Domestic	
Alamo Data Center	11/02/2022	Alamo Mission LLC	LD543087-OW1	Design LLC	LD543087-OC1	Google LLC	LD543087-OP1		3441 Railport Parkway Midlothian, Ellis County, TX 76065		
Bull Data Center	11/04/2024	IE US Development Holdings 5 Inc.	LD939441-OW1	IE US Hardware 1 Inc.	LD939441-OC1	IE US Development Holdings 5 Inc.	LD939441-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation	
Childress Data Center	08/10/2022	IE US Development Holdings 3 Inc.	LD926028-OW1	IE US Hardware 1 Inc.	LD926028-OC1	IE US Development Holdings 3 Inc.	LD926028-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation	
Cinco Data Center	09/11/2025	Rowan Cinco LLC	LD107783-OW1	Design LLC	LD107783-OC1	Google LLC	LD107783-OP1		TX-132 & Co Rd 683 Lytle/Medina County, TX 78052		
Cottonwood Data Center	09/12/2025	Core Scientific Inc.	LD291044-OW1	Core Scientific Inc.	LD291044-OC1	Core Scientific Inc.	LD291044-OP1		1851 FM Road 2119 Pecos, Reeves County, TX 79772		
Cutten Data Center	10/10/2024	SF HOUC, LLC	LD357799-OW1	SF HOUC, LLC	LD357799-OC1	SF HOUC, LLC	LD357799-OP1		15555 Cutten Rd Houston, Harris County, TX 77070		
Cyrusone LLC - Houston West III Data Center	01/31/2022	Cyrusone LLC	LD797782-OW1	Paile LLC	LD797782-OC1	Cyrusone LLC	LD797782-OP1		11003 Corporate Centre Dr Houston, Harris County, TX 77041		
Denton Data Center	09/19/2024			Coreweave Compute Acquisition Co V LLC	LD394824-OC2	Core Scientific, Inc. Coreweave, Inc.	LD394824-OP1 LD394824-OP2		8171 Jim Christal Rd Denton, Denton County, TX 76207		
DFW02 LANCASTER (STACK)	10/31/2025	SI DFW02A, LLC	LD112589-OW1	SI DFW02A, LLC	LD112589-OC1	SI DFW02A, LLC Stack Infrastructure III TRC, LLC	LD112589-OP1 LD112589-OP2		E Belt Line Road Lancaster, Dallas County, TX 75146		
EdgeConneX AU02	07/11/2025	DFW33220N, LLC	LD018726-OW1	Coreweave, Inc.	LD018726-OC1	DFW33220N Operations 1, LLC	LD018726-OP1		7401 East Ben White Blvd  Austin, Travis County, TX 78741		
Fermi Data Center 1	09/05/2025	Fermi Inc. Fermi Equipment Holdco, LLC Firebird Equipment Holdco, LLC Fermi Campus 1 LLC	LD669160-OW1 LD669160-OW2 LD669160-OW3 LD669160-OW4	Fermi Equipment Holdco, LLC	LD669160-OC1	Fermi Equipment Holdco, LLC	LD669160-OP1		US Highway 60 & FM 2373 Panhandle, Carson County, TX 79068	Texas Foreign Limited-Liability Company	
Giga Texas Datacenter	04/10/2024	Tesla, Inc.	LD369821-OW1	Tesla, Inc.	LD369821-OC1	Tesla, Inc.	LD369821-OP1		1 Tesla Rd Austin, Travis County, TX 78725		
HEL02 DC	11/07/2025	Galaxy Helios II LLC	LD104412-OW1	Coreweave, Inc.	LD104412-OC1	Coreweave, Inc. Galaxy Helios II LLC	LD104412-OP1 LD104412-OP2		984 Co Rd 112 Dickens, Dickens County, TX 79220		
Hockley Data Center	08/20/2024	SF HOUH LLC	LD470569-OW1	SF HOUH LLC	LD470569-OC1	SF HOUH LLC	LD470569-OP1		28401 Betka Road Hockley, Harris County, TX 77447		
Horizon	07/24/2025	IE US Development Holdings 3 Inc.	LD039871-OW1	IE US HARDWARE 3 INC.	LD039871-OC2	IE US Development Holdings 3 Inc.	LD039871-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation	
Hutto Data Center Campus LLC	03/10/2025	Hutto Data Center Campus LLC	LD370879-OW1	Design LLC	LD370879-OC1	Google LLC	LD370879-OP1		3399 County Road 132 Hutto, Williamson County, TX 78634		
Lancium Abilene Clean Campus	05/26/2022	Lancium LLC Abilene DC 1, LLC	LD565448-OW1 LD565448-OW2	Oracle America, Inc.	LD565448-OC2	Lancium LLC; Lancium Abilene, LLC	LD565448-OP1 LD565448-OP2		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus III	01/28/2025	Abilene DC 3 LLC	LD090472-OW3	Oracle America, Inc.	LD090472-OC2	Lancium LLC; Lancium Abilene, LLC	LD090472-OP2 LD090472-OP3		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus IV	03/16/2025	Abilene DC 4, LLC	LD382318-OW2	Oracle America, Inc.	LD382318-OC2	Lancium LLC; Lancium Abilene, LLC	LD382318-OP3 LD382318-OP2		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus V	03/16/2025	Abilene DC 5 LLC	LD579814-OW2	Oracle America, Inc.	LD579814-OC2	Lancium Abilene, LLC; Lancium LLC	LD579814-OP3 LD579814-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus VI	03/16/2025	Abilene DC 6 LLC	LD522306-OW2	Oracle America, Inc.	LD522306-OC2	Lancium Abilene, LLC; Lancium LLC	LD522306-OP3 LD522306-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus VII	03/16/2025	Abilene DC 7 LLC	LD760309-OW2	Oracle America, Inc.	LD760309-OC2	Lancium Abilene, LLC; Lancium LLC	LD760309-OP3 LD760309-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Abilene Clean Campus VIII	03/16/2025	Abilene DC 8 LLC	LD655815-OW2	Oracle America, Inc.	LD655815-OC2	Lancium Abilene, LLC; Lancium LLC	LD655815-OP3 LD655815-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601		
Lancium Clean Campus - Childress 1	03/25/2025	Lancium LLC	LD053115-OW1	Lancium LLC	LD053115-OC1	Lancium LLC	LD053115-OP1		617 Farm to Market Road 2404 Abilene, Taylor County, TX 79601 		
Lincoln Rackhouse	03/21/2023			Coreweave, Inc.	LD321266-OC1	Coreweave, Inc. Coreweave Compute Acquisition Co. II, LLC	LD321266-OP1 LD321266-OP2		1000 Coit Rd Plano, Collin County, TX 75075		
Microsoft Corporation (SAT 09 - SAT13)	12/15/2015	Microsoft Corporation	LD727073-OW1	Microsoft Corporation	LD727073-OC1	Microsoft Corporation	LD727073-OP1	12/15/2035	15434 Lambda Drive San Antonio, Bexar County, TX 78245		
Microsoft Corporation (SAT 15-17)	04/04/2023	Microsoft Corporation	LD371323-OW1	Microsoft Corporation	LD371323-OC1	Microsoft Corporation	LD371323-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251		
Microsoft Corporation (SAT 80-85)	03/31/2022	Microsoft Corporation	LD384204-OW1	Microsoft Corporation	LD384204-OC1	Microsoft Corporation	LD384204-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251		
Microsoft Corporation (SAT 89-90)	04/04/2024	Microsoft Corporation	LD772702-OW1	Microsoft Corporation	LD772702-OC1	Microsoft Corporation	LD772702-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251		
Nexus Data Centers	07/21/2025	Nexus Data Centers, LLC Nexus Land Holdings, LLC Nexus Hubbard Power, LLC	LD738113-OW1 LD738113-OW2 LD738113-OW3	Nexus Data Centers, LLC	LD738113-OC1	Nexus Data Centers, LLC	LD738113-OP1		1725 Hughes Landing Blvd, 11th Floor Spring, Harris County, TX 77380		
Polmer LLC Data Center	02/11/2022	Polmer LLC	LD292979-OW1	Polmer LLC	LD292979-OC1	Polmer LLC	LD292979-OP1		3101 Industrial Blvd Temple, Bell County, TX 76504		
Poolside Data Center, Pecos County I	10/23/2025	Poolside LF Phase 1 DC OPS LLC	LD592430-OW1	Poolside LF Phase 1 DC OPS LLC	LD592430-OC1	Poolside LF Phase 1 DC OPS LLC	LD592430-OP1		FM 1053 Fort Stockton, Pecos County, TX 79735	Poolside and CoreWeave	
PowerCampus Dallas by Lancaster Data Center Campus LP	02/21/2025	Lancaster Data Center Campus LP	LD502133-OW1	Design, LLC	LD502133-OC1	Google, LLC	LD502133-OP1		2401 S Dallas Avenue Lancaster, Dallas County, TX 75146	Skybox Datacenters & Bandera Ventures	
Project Goodnight	06/20/2025	GN DC1, LLC	LD246216-OW1	GN DC1, LLC	LD246216-OC1	GN DC1, LLC	LD246216-OP1		10001 Lima Road Claude, Armstrong County, TX 79019	Crusoe Energy	
Pyote Data Center	07/11/2022	DDH (North America) Inc.	LD442539-OW1	DDH (North America) Inc.	LD442539-OC1	DDH (North America) Inc.	LD442539-OP1		I-20 corridor Pyote, TX, Ward County, TX 79777	Genesis Digital Assets Bitcoin mining	Defendant GDA is a company registered in Cyprus with its United States headquarters in Houston, Texas. GDA is in the business of Bitcoin mining, and claims to own and operate more than 20 Bitcoin mining centers, including nine in the United States. Upon information and belief, Alameda’s investments in GDA were intended to fund additional Bitcoin mining operations in the United States. At the time of the Transfers, GDA maintained an office in New York, New York. As of September 2025, GDA’s website identifies it as having two offices: one located in Houston, Texas and another in Dubai. The majority of GDA’s assets and operations are now in the United States and are held by GDA’s U.S. subsidiaries, which, on information and belief, are wholly controlled by GDA, share overlapping employees and directors, are entirely capitalized by transfers from GDA, and which otherwise fail to keep adequate corporate records or separate books.
Red Oak Texas Data Center	02/14/2022	Compass Datacenters DFW IIIA, LLC Compass Datacenters DFW III, LLC Compass Datacenters DFW IIIB, LLC Compass Datacenters DFW IIIC, LLC Compass Datacenters DFW IIID, LLC Compass Datacenters DFW IIIE, LLC	LD711781-OW1 LD711781-OW2 LD711781-OW3 LD711781-OW4 LD711781-OW5 LD711781-OW6	Microsoft Corporation	LD711781-OC2	Compass Datacenters, LLC	LD711781-OP2		300 Houston School Road Red Oak, Ellis County, TX 75154	Microsoft-Compass	
Red Oak Texas Data Center 2	03/14/2024	Compass Datacenters DFW IIIJ, LLC Compass Datacenters DFW III, LLC Compass Datacenters DFW IIIF, LLC Compass Datacenters DFW IIIG, LLC Compass Datacenters DFW IIIH, LLC Compass Datacenters DFW III-I, LLC	LD716523-OW1 LD716523-OW2 LD716523-OW3 LD716523-OW4 LD716523-OW5 LD716523-OW6	Microsoft Corporation	LD716523-OC1	Compass Datacenters, LLC	LD716523-OP1		481 Austin Blvd Red Oak, Ellis County, TX 75154	Microsoft-Compass	
Riot Corsicana Data Center	08/22/2023	Riot Corsicana, LLC	LD575955-OW1	Riot Corsicana, LLC	LD575955-OC1	Riot Corsicana, LLC	LD575955-OP1		6980 FM 709 S Corsicana, Navarro County, TX 75110	Riot Platforms Bitcoing mining	
Riot Rockdale	10/03/2025	Riot Platforms, Inc.	LD190032-OW2	Riot Platforms, Inc.	LD190032-OC2	Riot Platforms, Inc. Whinstone US, Inc. Riot Data Centers, LLC	LD190032-OP3 LD190032-OP4 LD190032-OP5		6980 FM 709 S Corsicana, Navarro County, TX 75110	Riot Platforms Bitcoing mining	
Riot Rockdale Data Center 1	11/18/2025	Riot Platforms, Inc.	LD118291-OW1	Riot Platforms, Inc.	LD118291-OC1	Riot Platforms, Inc. Riot Rockdale Data Center 1 Riot Data Centers, LLC Whinstone, US, Inc.	LD118291-OP1 LD118291-OP2 LD118291-OP3 LD118291-OP4		2721 Charles Martin Hall Rd Rockdale, Milam County, TX 76567	Whinstone Bitcoin mining	
Sharka Data Center	10/01/2018	Sharka LLC	LD693418-OW2	Design LLC	LD693418-OC1	Google LLC	LD693418-0P1		3800 Railport Pkwy Midlothian, Ellis County, TX 76065	Google	
Sweetwater II	07/15/2025	IE US DEVELOPMENT HOLDINGS 7 INC.	LD471220-OW1	IE US HARDWARE 1 INC.	LD471220-OC1	IE US DEVELOPMENT HOLDINGS 7 INC.	LD471220-OP1		1782 FM540 Hamlin, Fisher County, TX 79520	Foreign For-Profit Corporation	
TX21/TX22 Data Centers	11/05/2025	Vantage Data Centers TX21, LLC Vantage Data Centers TX22, LLC	LD521147-OW1 LD521147-OW2	Oracle America Cloud Services, LLC	LD521147-OC1	Vantage Data Centers Management Company, LLC	LD521147-OP1		5207 Rogers Rd San Antonio, Bexar County, TX 78251	Vantage, OpenAI Stargate, Oracle	
Winner LLC d/b/a Ernst LLC	06/22/2015	Winner LLC d/b/a Ernst LLC	LD771235-OW1	Winner LLC d/b/a Ernst LLC	LD771235-OC1	Winner LLC d/b/a Ernst LLC	LD771235-OP1	06/22/2035	4500 Like Way Fort Worth, Tarrant County, TX, 87248	Facebook-Meta	
Wurldwide LLC DBA Statue LLC	09/17/2025	Wurldwide LLC DBA Statue LLC	LD801559-OW1	Wurldwide LLC DBA Statue LLC	LD801559-OC1	Wurldwide LLC DBA Statue LLC	LD801559-OP1		US-54 & Stan Roberts Sr Ave El Paso, Colorado County, TX 79934	Facebook-Meta	
